idx,gnn_in_dim,gnn_hidden_dim,gnn_out_dim,gnn_num_layers,mlp_in_dim,mlp_hidden_dim,mlp_out_dim,mlp_num_layers,gnn_p_in,gnn_p_hidden,gnn_p_out,mlp_p_in,mlp_p_hidden,mlp_p_out,conv,gnn_skip_connections,median_nodes,median_edges,median_degree,runtime_synth,bram,dsp,build_idx,vitis_tool_runtime,latency_pred,bram_pred,sklearn_latency_infrence_time,sklearn_bram_infrence_time
251256,11,128,256,2,768,128,19,2,1,8,8,4,2,1,sage,True,12,24,1,0.00019601379,372,168,251256,360.67,216.59974636890257,394.48249999999996,0.0017257616666666667,0.001716906888888889
252272,11,128,256,2,768,128,19,3,1,4,4,2,8,1,sage,False,12,24,1,0.00024279696,492,202,252272,443.79,252.30340575711256,469.0166666666666,0.0017361433333333333,0.001724444111111111
252616,11,128,256,2,768,256,19,3,1,8,2,4,4,1,sage,False,12,24,1,0.0003423906,496,110,252616,389.81,337.66111526013543,450.32833333333326,0.0017321463333333333,0.0017229754444444444
25300,11,128,64,2,192,64,19,1,1,4,2,2,4,1,gcn,True,12,24,1,0.00013890762,148,50,25300,399.88,156.71171197497284,180.56055555555554,0.0017147673333333332,0.0017305132222222223
254766,11,128,256,4,768,64,19,2,1,2,8,4,2,1,sage,True,12,24,1,0.00064351917,396,76,254766,490.72,621.5854034999975,372.8247402597403,0.0017284873333333333,0.0017312703333333332
255036,11,128,256,4,768,128,19,1,1,4,8,4,2,1,sage,True,12,24,1,0.00033167466,404,156,255036,499.25,298.2377749865533,411.5883333333333,0.0017202624444444445,0.0017194416666666667
255467,11,128,256,4,768,256,19,2,1,8,8,2,8,1,sage,True,12,24,1,0.00024375267,826,498,255467,800.6,258.5316711248617,844.0,0.001715183888888889,0.0017251737777777777
255800,11,128,256,4,768,64,19,3,1,2,2,2,8,1,sage,False,12,24,1,0.0009126264599999,538,190,255800,695.92,878.5265440499713,495.7996753246754,0.0017290812222222223,0.0017173873333333333
256176,11,128,256,4,768,128,19,3,1,8,2,2,2,1,sage,False,12,24,1,0.00043500456,616,328,256176,781.01,415.95008226923073,613.0908333333334,0.0017295594444444444,0.0017239586666666668
256527,11,128,256,4,768,256,19,4,1,2,2,2,2,1,sage,False,12,24,1,0.00126399807,482,56,256527,534.55,1019.8681109999834,473.6465384615385,0.0017093432222222223,0.0017300854444444445
258293,11,256,64,1,192,256,19,1,1,8,4,2,8,1,sage,False,12,24,1,6.889104e-05,174,42,258293,196.6,71.59581387987014,179.04666666666668,0.0017165453333333333,0.001731157111111111
258776,11,256,64,2,192,64,19,3,1,8,2,8,8,1,sage,True,12,24,1,0.00015157494,390,258,258776,395.77,163.1973392999983,369.1333333333333,0.0017254906666666668,0.0017171873333333332
259252,11,256,64,2,192,256,19,1,1,4,8,8,4,1,sage,True,12,24,1,0.00016384266,270,118,259252,383.07,181.201075875,281.11055555555555,0.0017162595555555555,0.0017224965555555556
259303,11,256,64,2,192,256,19,2,1,2,8,4,4,1,sage,True,12,24,1,0.00024451191,314,82,259303,364.97,236.28814200000002,300.8665079365079,0.0017352825555555554,0.0017164475555555554
259735,11,256,64,2,192,64,19,3,1,4,8,4,4,1,sage,False,12,24,1,0.00015754896,256,134,259735,451.46,163.1973392999983,258.9553174603175,0.0017275066666666667,0.0017150594444444445
