idx,gnn_in_dim,gnn_hidden_dim,gnn_out_dim,gnn_num_layers,mlp_in_dim,mlp_hidden_dim,mlp_out_dim,mlp_num_layers,gnn_p_in,gnn_p_hidden,gnn_p_out,mlp_p_in,mlp_p_hidden,mlp_p_out,conv,gnn_skip_connections,median_nodes,median_edges,median_degree,runtime_synth,bram,dsp
125103,11,256,128,1,384,256,19,1,1,4,4,4,2,1,gin,True,12,24,1,0.00019992987,179,24
125522,11,256,128,1,384,64,19,2,1,4,8,8,8,1,gin,False,12,24,1,0.00010341648,251,154
125675,11,256,128,1,384,64,19,4,1,4,4,8,8,1,gin,False,12,24,1,0.00015005645999999998,391,278
125897,11,256,128,1,384,128,19,3,1,2,8,4,8,1,gin,False,12,24,1,0.00011422899,333,186
126933,11,256,128,2,384,128,19,4,1,2,2,8,2,1,gin,True,12,24,1,0.00069338592,295,51
127420,11,256,128,2,384,64,19,2,1,2,2,8,4,1,gin,False,12,24,1,0.00062905032,223,73
127879,11,256,128,2,384,128,19,3,1,8,2,8,4,1,gin,False,12,24,1,0.00024207435,345,167
131337,11,256,128,4,384,64,19,2,1,4,4,2,2,1,gin,False,12,24,1,0.00051349266,357,123
131432,11,256,128,4,384,64,19,3,1,4,8,4,8,1,gin,False,12,24,1,0.00049133151,529,297
131560,11,256,128,4,384,128,19,1,1,2,4,8,4,1,gin,False,12,24,1,0.00109304253,379,79
134469,11,256,256,2,768,128,19,1,1,2,4,2,2,1,gin,True,12,24,1,0.00072904689,223,31
134473,11,256,256,2,768,128,19,1,1,2,4,4,4,1,gin,True,12,24,1,0.0006648111900000001,323,45
134680,11,256,256,2,768,128,19,3,1,8,2,4,4,1,gin,True,12,24,1,0.00033221745,423,151
